UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,19,4272385,2181063,2091322,1598909,1523488,326935,318686,33008,31830,122326,120598,5943,5851,93942,90869,1684245,1606148,374446,365053,55473,53484,156958,153660,13103,12806,1664425,1595828,1148764,1091313,300930,294118,18149,17609,117145,115763,4255,4047,75182,72978,1217184,1157902,339596,332103,33262,32228,146372,143678,9652,9316,516638,495494,450145,432175,26005,24568,14859,14221,5181,4835,1688,1804,18760,17891,467061,448246,34850,32950,22211,21256,10586,9982,3451,3490
R,7,2020,20,4344572,2221432,2123140,1628551,1545424,337389,327667,33958,32428,122937,121573,6198,5810,92399,90238,1712595,1627080,383995,373988,56895,54694,156247,153872,13215,12707,1702169,1628248,1175602,1113956,311431,302912,18858,18051,117735,116696,4431,4135,74112,72498,1243170,1179729,349442,340789,34344,33237,145943,143906,9785,9375,519263,494892,452949,431468,25958,24755,15100,14377,5202,4877,1767,1675,18287,17740,469425,447351,34553,33199,22551,21457,10304,9966,3430,3332
R,7,2020,21,4283150,2188824,2094326,1608801,1529140,329682,320759,32828,31831,121514,119779,6103,5631,89896,87186,1690384,1608048,374654,365090,55395,53971,153933,150761,13276,12352,1685281,1612980,1169493,1109380,304426,296716,18374,17855,116385,114918,4343,4034,72260,70077,1235236,1172935,341212,333121,33870,33135,143767,140897,9828,9180,503543,481346,439308,419760,25256,24043,14454,13976,5129,4861,1760,1597,17636,17109,455148,435113,33442,31969,21525,20836,10166,9864,3448,3172
R,7,2020,22,4293020,2192971,2100049,1607727,1528830,331859,323021,32852,31939,127413,125753,6108,5706,87012,84800,1686412,1605676,375076,365680,55192,53794,158589,155751,12916,12166,1694566,1624918,1172315,1113896,307126,299512,18289,18091,122439,120927,4433,4096,69964,68396,1235709,1176033,342531,334527,33640,33313,148793,146280,9696,9057,498405,475131,435412,414934,24733,23509,14563,13848,4974,4826,1675,1610,17048,16404,450703,429643,32545,31153,21552,20481,9796,9471,3220,3109
R,7,2020,23,4315220,2201623,2113597,1612290,1537845,331186,323429,32665,31458,134821,132277,6162,5669,84499,82919,1688729,1612606,372405,364567,55092,53601,165325,161692,12846,12222,1705662,1641540,1179098,1125174,306716,300467,18123,17753,129827,127533,4450,4107,67448,66506,1240275,1185196,340057,334027,33481,33104,155575,152374,9575,9149,495961,472057,433192,412671,24470,22962,14542,13705,4994,4744,1712,1562,17051,16413,448454,427410,32348,30540,21611,20497,9750,9318,3271,3073
R,7,2020,24,4358793,2227996,2130797,1631931,1549287,331903,324862,32817,31261,141997,138937,6355,5948,82993,80502,1706896,1621826,371738,364126,55455,53352,172062,167847,12967,12455,1732492,1659612,1198307,1136793,307777,302129,18369,17627,137117,134149,4601,4286,66321,64628,1258322,1195128,340032,334091,33933,32998,162580,158600,9731,9386,495504,471185,433624,412494,24126,22733,14448,13634,4880,4788,1754,1662,16672,15874,448574,426698,31706,30035,21522,20354,9482,9247,3236,3069
R,7,2020,25,4461006,2283275,2177731,1664841,1576358,350112,340075,33422,32060,146840,143830,6581,6264,81479,79144,1737895,1647129,388619,378503,56507,54281,176393,172214,13427,12888,1780891,1701978,1224884,1159916,325314,316681,18942,18153,141793,139084,4814,4549,65144,63595,1283293,1216867,356406,347889,35069,33865,166939,163104,10122,9746,502384,475753,439957,416442,24798,23394,14480,13907,5047,4746,1767,1715,16335,15549,454602,430262,32213,30614,21438,20416,9454,9110,3305,3142
R,7,2020,26,4555511,2332000,2223511,1692957,1600042,366653,356050,34110,32954,152487,149901,6620,6430,79173,78134,1763588,1669636,403103,393197,57302,55799,181573,177951,13582,13108,1823347,1744282,1246676,1180522,341498,332303,19621,18868,147598,145093,4879,4734,63075,62762,1302934,1236437,370792,362467,35837,35124,172258,168874,10299,9945,508653,479229,446281,419520,25155,23747,14489,14086,4889,4808,1741,1696,16098,15372,460654,433199,32311,30730,21465,20675,9315,9077,3283,3163
R,7,2020,27,4628618,2372863,2255755,1718821,1618880,379059,365115,35496,33677,156453,156500,6871,6479,76163,75104,1786514,1685516,413346,400013,58430,56413,184750,183670,13639,13070,1859482,1777146,1268426,1199512,353320,341418,20365,19593,151638,151677,5021,4755,60712,60191,1322400,1252932,380708,369474,36422,35758,175828,174860,10363,9924,513381,478609,450395,419368,25739,23697,15131,14084,4815,4823,1850,1724,15451,14913,464114,432584,32638,30539,22008,20655,8922,8810,3276,3146
R,7,2020,28,4751001,2428258,2322743,1760960,1665537,385384,375747,36888,34379,163109,165603,7122,6641,74795,74836,1826995,1731455,417664,409510,60168,57086,191446,193715,14053,13489,1906554,1837600,1303693,1241418,359210,350677,21180,20233,158128,160572,5126,4897,59217,59803,1355926,1294127,384528,377577,37499,36373,182353,184540,10608,10204,521704,485143,457267,424119,26174,25070,15708,14146,4981,5031,1996,1744,15578,15033,471069,437328,33136,31933,22669,20713,9093,9175,3445,3285
