GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,DJA001,DJA002
"G0101130","1980","3","6","Alabama","01","1800","Russell","113",,,,,,,,,,,,"RUSSELL",261,146
"G0101150","1980","3","6","Alabama","01","1000","St Clair","115",,,,,,,,,,,,"ST. CLAIR",193,55
"G0101170","1980","3","6","Alabama","01","1000","Shelby","117",,,,,,,,,,,,"SHELBY",389,121
"G0101190","1980","3","6","Alabama","01",,"Sumter","119",,,,,,,,,,,,"SUMTER",88,102
"G0101210","1980","3","6","Alabama","01",,"Talladega","121",,,,,,,,,,,,"TALLADEGA",421,319
"G0101230","1980","3","6","Alabama","01",,"Tallapoosa","123",,,,,,,,,,,,"TALLAPOOSA",243,66
"G0101250","1980","3","6","Alabama","01","8600","Tuscaloosa","125",,,,,,,,,,,,"TUSCALOOSA",729,291
"G0101270","1980","3","6","Alabama","01","1000","Walker","127",,,,,,,,,,,,"WALKER",255,163
"G0101290","1980","3","6","Alabama","01",,"Washington","129",,,,,,,,,,,,"WASHINGTON",111,97
"G0101310","1980","3","6","Alabama","01",,"Wilcox","131",,,,,,,,,,,,"WILCOX",44,301
"G0101330","1980","3","6","Alabama","01",,"Winston","133",,,,,,,,,,,,"WINSTON",92,47
"G0200100","1980","4","9","Alaska","02",,"Aleutian Islands","010",,,,,,,,,,,,"ALEUTIAN ISLANDS",147,9
"G0200200","1980","4","9","Alaska","02","0380","Anchorage","020",,,,,,,,,,,,"ANCHORAGE",4240,566
"G0200500","1980","4","9","Alaska","02",,"Bethel","050",,,,,,,,,,,,"BETHEL",56,0
"G0200600","1980","4","9","Alaska","02",,"Bristol Bay Borough","060",,,,,,,,,,,,"BRISTOL BAY",13,0
"G0200700","1980","4","9","Alaska","02",,"Dillingham","070",,,,,,,,,,,,"DILLINGHAM",0,0
"G0200900","1980","4","9","Alaska","02",,"Fairbanks North Star","090",,,,,,,,,,,,"FAIRBANKS NORTH STAR",1152,192
