GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E34001,E34002,E34003,E34004,E34005,E34006,E34007,E34008,E34009,E34010,E34011,E34012,E34013,E34014,E34015,E34016,E34017,E34018,E34019,E34020,E34021,E34022,E34023,E34024,E34025,E34026,E34027,E34028,E34029,E34030,E34031,E34032,E34033,E34034,E34035,E35001,E35002,E35003,E35004,E35005,E35006,E35007
"G4700630","1990",,,,,,,,,,"Hamblen","063",,"6","9999",,"9999","3","Tennessee","47",,,,,"Hamblen County",6573,5537,9901,4787,1290,2510,1094,261,327,399,267,46,35,52,8,20,14,0,6,0,0,14,0,11,16,6,24,7,0,0,4,0,0,5,0,0,5,28,14,6,5,7
"G4700650","1990",,,,,,,,,,"Hamilton","065",,"6","1560",,"9999","3","Tennessee","47",,,,,"Hamilton County",15938,22253,42520,31585,8954,23333,9924,4893,7953,8893,5140,1270,2131,808,68,63,97,84,21,41,28,141,139,150,169,96,369,248,36,13,22,85,25,32,44,105,86,220,299,91,187,105
"G4700670","1990",,,,,,,,,,"Hancock","067",,"6","9999",,"9999","3","Tennessee","47",,,,,"Hancock County",1805,672,1187,363,58,144,79,17,24,0,22,0,0,0,1,8,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"G4700690","1990",,,,,,,,,,"Hardeman","069",,"6","9999",,"9999","3","Tennessee","47",,,,,"Hardeman County",1912,2002,3374,1288,338,568,334,1278,1648,1248,307,56,147,39,0,0,0,7,0,0,0,2,0,0,0,0,14,3,0,0,0,0,0,0,0,0,28,7,8,0,0,0
"G4700710","1990",,,,,,,,,,"Hardin","071",,"6","9999",,"9999","3","Tennessee","47",,,,,"Hardin County",3487,2974,5075,1526,315,482,374,81,160,246,52,25,30,5,8,10,18,7,0,0,0,2,2,0,0,0,6,7,0,0,0,0,0,0,0,3,6,0,0,6,0,0
"G4700730","1990",,,,,,,,,,"Hawkins","073",,"6","3660",,"9999","3","Tennessee","47",,,,,"Hawkins County",6986,5210,10388,3072,859,1586,811,60,108,99,139,43,38,13,8,33,7,9,0,0,0,0,0,9,20,0,0,26,0,8,5,5,0,0,7,16,19,18,12,0,0,7
"G4700750","1990",,,,,,,,,,"Haywood","075",,"6","9999",,"9999","3","Tennessee","47",,,,,"Haywood County",1304,1339,1946,972,192,549,268,1635,1324,1641,400,149,142,87,13,0,16,0,0,0,0,0,0,0,0,0,0,0,49,0,17,0,0,0,0,75,22,26,0,0,0,0
"G4700770","1990",,,,,,,,,,"Henderson","077",,"6","9999",,"9999","3","Tennessee","47",,,,,"Henderson County",3356,2637,4147,1797,479,633,257,224,236,426,108,19,66,28,7,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,58,26,12,0,0,0,0
"G4700790","1990",,,,,,,,,,"Henry","079",,"6","9999",,"9999","3","Tennessee","47",,,,,"Henry County",3511,3282,6427,2313,397,950,584,463,421,586,151,19,70,38,15,6,8,0,0,0,0,0,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,19,5,0,0,0
"G4700810","1990",,,,,,,,,,"Hickman","081",,"6","9999",,"9999","3","Tennessee","47",,,,,"Hickman County",2556,2161,3566,1260,212,451,278,72,177,105,232,57,72,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,0,5,0,0,9,19
"G4700830","1990",,,,,,,,,,"Houston","083",,"6","9999",,"9999","3","Tennessee","47",,,,,"Houston County",1200,935,1571,439,101,213,83,52,41,61,14,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,9,10,10,0,0,5,0
"G4700850","1990",,,,,,,,,,"Humphreys","085",,"6","9999",,"9999","3","Tennessee","47",,,,,"Humphreys County",1736,1894,4113,1166,237,689,251,62,65,95,30,0,0,0,12,21,0,9,0,0,0,2,12,10,9,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
