GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHZ001,DHZ002,DHZ003,DHZ004,DHZ005,DHZ006,DHZ007,DHZ008
"G1800430","1980","A","2","3","Indiana","18","4520","Floyd","043",,,,,,,,,,,,"F",,,,,"FLOYD",,,,"1",,,,,,,,,,,,,,,"1",,,,,"1",,,,0,30,8,11,0,40,6,68
"G1800450","1980","A","2","3","Indiana","18",,"Fountain","045",,,,,,,,,,,,"09",,,,,"FOUNTAIN",,,,"1",,,,,,,"1","1","1",,,,,"1","1","1",,,,,,"1",,0,5,0,4,0,6,2,8
"G1800470","1980","A","2","3","Indiana","18",,"Franklin","047",,,,,,,,,,,,"08",,,,,"FRANKLIN",,,"1","1",,,,,,,"1","1",,,,,,"1","1",,,,,,,"1",,0,16,7,3,0,15,1,41
"G1800490","1980","A","2","3","Indiana","18",,"Fulton","049",,,,,,,,,,,,"02",,,,,"FULTON",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,"1",,"1",,,0,31,0,5,0,13,3,31
"G1800510","1980","A","2","3","Indiana","18","2440","Gibson","051",,,,,,,,,,,,"06",,,,,"GIBSON",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,"1",,,,,0,33,7,19,0,2,0,41
"G1800530","1980","A","2","3","Indiana","18",,"Grant","053",,,,,,,,,,,,"04",,,,,"GRANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,312,88,108,0,190,51,97
"G1800550","1980","A","2","3","Indiana","18",,"Greene","055",,,,,,,,,,,,"06",,,,,"GREENE",,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,"1",,"1","1",,0,7,2,14,0,3,5,23
"G1800570","1980","A","2","3","Indiana","18","3480","Hamilton","057",,,,,,"44",,,,,,"05",,,,,"HAMILTON",,,,,,,,,,,"1",,"1",,,,,"1",,,,,"1","1",,,,0,121,18,12,0,82,12,68
"G1800590","1980","A","2","3","Indiana","18","3480","Hancock","059",,,,,,"44",,,,,,"05",,,,,"HANCOCK",,,,,,,,,,,,,,,,,"1",,,,,,"1","1","1",,,0,62,12,9,0,26,0,33
"G1800610","1980","A","2","3","Indiana","18",,"Harrison","061",,,,,,,,,,,,"07",,,,,"HARRISON",,,,"1",,,,,,,"1","1",,,,,,"1","1",,,,,"1","1","1",,0,25,5,2,0,30,0,20
"G1800630","1980","A","2","3","Indiana","18","3480","Hendricks","063",,,,,,"44",,,,,,"05",,,,,"HENDRICKS",,,,,,,,,,,"1",,"1",,,,,,,,,,,"1","1",,,0,86,0,45,0,48,2,39
"G1800650","1980","A","2","3","Indiana","18",,"Henry","065",,,,,,,,,,,,"04",,,,,"HENRY",,,,,,,,,,,,,,,,,,"1",,,,,,"1",,,,0,57,10,13,0,36,6,59
"G1800670","1980","A","2","3","Indiana","18","3850","Howard","067",,,,,,,,,,,,"04",,,,,"HOWARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,194,31,40,0,132,66,158
"G1800690","1980","A","2","3","Indiana","18",,"Huntington","069",,,,,,,,,,,,"03",,,,,"HUNTINGTON",,,,,,,,,,,,,,,,,,"1",,,,,,"1",,,,0,33,0,2,0,25,0,15
"G1800710","1980","A","2","3","Indiana","18",,"Jackson","071",,,,,,,,,,,,"08",,,,,"JACKSON",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,,"1",,,,0,33,2,16,0,23,2,9
"G1800730","1980","A","2","3","Indiana","18",,"Jasper","073",,,,,,,,,,,,"02",,,,,"JASPER",,,,"1",,,,,,"1","1",,,,,,"1",,,,,,,"1",,,,0,59,15,16,0,17,3,37
"G1800750","1980","A","2","3","Indiana","18",,"Jay","075",,,,,,,,,,,,"03",,,,,"JAY",,,,"1","1",,,,,,,,,,,,,"1",,,,,"1",,,,,0,27,3,0,0,16,5,20
"G1800770","1980","A","2","3","Indiana","18",,"Jefferson","077",,,,,,,,,,,,"08",,,,,"JEFFERSON",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,,"1","1",,,0,39,0,4,0,6,0,23
"G1800790","1980","A","2","3","Indiana","18",,"Jennings","079",,,,,,,,,,,,"08",,,,,"JENNINGS",,,,,,,,,,,"1","1",,,,,,"1","1",,,,"1","1","1","1",,0,16,0,9,0,36,0,25
"G1800810","1980","A","2","3","Indiana","18","3480","Johnson","081",,,,,,"44",,,,,,"05",,,,,"JOHNSON",,,,,,,,,,,,,,,,,,,,,,,,,,,,18,105,13,17,0,83,2,68
"G1800830","1980","A","2","3","Indiana","18",,"Knox","083",,,,,,,,,,,,"06",,,,,"KNOX",,,,,,,,,,,,"1","1",,,,,,"1",,,,,,,,,0,25,4,15,0,13,5,23
"G1800850","1980","A","2","3","Indiana","18",,"Kosciusko","085",,,,,,,,,,,,"02",,,,,"KOSCIUSKO",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,214,8,17,0,143,39,70
"G1800870","1980","A","2","3","Indiana","18",,"Lagrange","087",,,,,,,,,,,,"03",,,,,"LAGRANGE",,,"1","1","1",,,,,"1","1","1",,,,,,"1",,,,,"1",,"1","1",,0,30,7,5,0,26,2,15
"G1800890","1980","A","2","3","Indiana","18","2960","Lake","089",,,,,,"14",,,,,,"A",,,,,"LAKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10117,1196,2612,0,4842,685,8019
"G1800910","1980","A","2","3","Indiana","18",,"LaPorte","091",,,,,,,,,,,,"01",,,,,"LA PORTE",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,1,342,54,90,0,197,11,145
"G1800930","1980","A","2","3","Indiana","18",,"Lawrence","093",,,,,,,,,,,,"07",,,,,"LAWRENCE",,,"1",,,,,,,"1",,,"1",,,,,"1",,,,,"1",,"1","1",,3,20,13,15,0,34,2,27
"G1800950","1980","A","2","3","Indiana","18","0400","Madison","095",,,,,,"44",,,,,,"04",,,,,"MADISON",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,0,156,27,105,0,89,28,150
"G1800970","1980","B","2","3","Indiana","18","3480","Marion","097",,,,,,"44",,,,,,"D",,,,,"MARION",,,,,,,,,,,,,,,,,,,,,,,,,,,,187,1625,95,385,15,1123,101,1030
"G1800990","1980","A","2","3","Indiana","18","7800","Marshall","099",,,,,,,,,,,,"02",,,,,"MARSHALL",,,,,,,,,,,,"1","1",,,,,"1","1",,,,"1",,"1",,,0,122,19,29,0,57,16,130
"G1801010","1980","A","2","3","Indiana","18",,"Martin","101",,,,,,,,,,,,"07",,,,,"MARTIN",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,,"1","1",,,0,22,0,2,0,19,2,7
"G1801030","1980","A","2","3","Indiana","18",,"Miami","103",,,,,,,,,,,,"09",,,,,"MIAMI",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,44,62,7,4,9,39,11,95
"G1801050","1980","A","2","3","Indiana","18","1020","Monroe","105",,,,,,,,,,,,"07",,,,,"MONROE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,159,28,227,0,192,17,264
"G1801070","1980","A","2","3","Indiana","18",,"Montgomery","107",,,,,,,,,,,,"09",,,,,"MONTGOMERY",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,"1","1","1",,,0,12,0,6,0,6,0,24
"G1801090","1980","A","2","3","Indiana","18","3480","Morgan","109",,,,,,"44",,,,,,"06",,,,,"MORGAN",,,"1",,,,,,,"1",,,"1",,,,"1",,,,,,,"1","1",,,0,27,0,5,0,18,0,30
"G1801110","1980","A","2","3","Indiana","18",,"Newton","111",,,,,,,,,,,,"02",,,,,"NEWTON",,,"1",,"1",,,,,"1","1","1","1",,,,"1","1","1",,,"1",,,"1","1",,0,29,0,8,0,23,0,12
"G1801130","1980","A","2","3","Indiana","18",,"Noble","113",,,,,,,,,,,,"03",,,,,"NOBLE",,,,,"1",,,,,"1",,"1",,,,,"1",,"1",,,,,"1",,,,0,60,11,43,0,59,27,44
"G1801150","1980","A","2","3","Indiana","18",,"Ohio","115",,,,,,,,,,,,"08",,,,,"OHIO",,,,"1","1","1",,,,,"1","1",,,,,,"1","1",,,"1","1",,,,,0,0,0,0,0,0,0,0
"G1801170","1980","A","2","3","Indiana","18",,"Orange","117",,,,,,,,,,,,"07",,,,,"ORANGE",,,,"1","1",,,,,,"1","1","1",,,,,"1","1",,,,"1","1",,"1",,0,24,5,4,0,14,2,11
"G1801190","1980","A","2","3","Indiana","18",,"Owen","119",,,,,,,,,,,,"06",,,,,"OWEN",,,"1",,,,,,,"1","1",,,,,,"1",,"1",,,,,"1","1","1",,0,16,3,7,0,12,0,13
"G1801210","1980","A","2","3","Indiana","18",,"Parke","121",,,,,,,,,,,,"09",,,,,"PARKE",,,,,"1",,,,,"1",,"1","1",,,,,"1","1",,,,"1","1",,,,0,9,0,6,0,13,0,10
"G1801230","1980","A","2","3","Indiana","18",,"Perry","123",,,,,,,,,,,,"07",,,,,"PERRY",,,"1",,,"1",,,,"1","1",,"1",,,,"1","1",,"1",,"1",,"1",,"1",,0,0,0,0,0,0,0,0
"G1801250","1980","A","2","3","Indiana","18",,"Pike","125",,,,,,,,,,,,"06",,,,,"PIKE",,,"1",,,,,,,,,"1","1",,,,,,"1",,,,,"1","1",,,7,10,3,11,0,12,3,10
"G1801270","1980","A","2","3","Indiana","18","2960","Porter","127",,,,,,"14",,,,,,"A",,,,,"PORTER",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,640,68,109,0,379,35,344
"G1801290","1980","A","2","3","Indiana","18","2440","Posey","129",,,,,,,,,,,,"06",,,,,"POSEY",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,"1",,,,0,25,0,7,0,11,0,12
"G1801310","1980","A","2","3","Indiana","18",,"Pulaski","131",,,,,,,,,,,,"02",,,,,"PULASKI",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,"1",,,,,0,29,3,9,0,20,0,17
"G1801330","1980","A","2","3","Indiana","18",,"Putnam","133",,,,,,,,,,,,"05",,,,,"PUTNAM",,,,"1",,,,,,,,,,,,,,,,,,,,"1","1",,,7,9,0,18,0,17,0,23
"G1801350","1980","A","2","3","Indiana","18",,"Randolph","135",,,,,,,,,,,,"04",,,,,"RANDOLPH",,,"1",,,,,,,,,"1","1",,,,,"1",,,,,"1",,"1",,,0,27,5,6,0,26,4,17
"G1801370","1980","A","2","3","Indiana","18",,"Ripley","137",,,,,,,,,,,,"08",,,,,"RIPLEY",,,"1","1",,,,,,,,,,,,,,"1","1",,,,,"1","1",,,0,15,0,11,0,4,2,20
"G1801390","1980","A","2","3","Indiana","18",,"Rush","139",,,,,,,,,,,,"05",,,,,"RUSH",,,,"1","1",,,,,"1","1",,,"1",,,"1","1",,"1",,,"1","1",,"1",,0,5,0,7,0,3,0,14
"G1801410","1980","A","2","3","Indiana","18","7800","St Joseph","141",,,,,,,,,,,,"B",,,,,"ST. JOSEPH",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,654,118,287,0,404,72,504
"G1801430","1980","A","2","3","Indiana","18",,"Scott","143",,,,,,,,,,,,"08",,,,,"SCOTT",,,"1","1",,,,,,"1","1",,,,,,,,,,,,"1","1",,,,0,56,5,13,0,18,0,24
"G1801450","1980","A","2","3","Indiana","18","3480","Shelby","145",,,,,,"44",,,,,,"05",,,,,"SHELBY",,,,,,,,,,,,,,,,,,,"1",,,,,"1","1",,,6,11,0,20,0,19,5,17
"G1801470","1980","A","2","3","Indiana","18",,"Spencer","147",,,,,,,,,,,,"06",,,,,"SPENCER",,,,"1",,,,,,,"1","1",,,,,"1","1",,,,,,"1","1","1",,0,21,0,6,0,10,0,6
"G1801490","1980","A","2","3","Indiana","18",,"Starke","149",,,,,,,,,,,,"02",,,,,"STARKE",,,,,"1",,,,,,,"1","1",,,,,"1","1",,,,,"1","1",,,0,25,0,12,0,21,0,12
"G1801510","1980","A","2","3","Indiana","18",,"Steuben","151",,,,,,,,,,,,"03",,,,,"STEUBEN",,,,,,,,,,,,,,,,,,"1",,"1",,,,"1",,"1",,0,9,6,17,0,17,3,10
"G1801530","1980","A","2","3","Indiana","18","8320","Sullivan","153",,,,,,,,,,,,"06",,,,,"SULLIVAN",,,"1",,"1",,,,,"1",,"1",,,,,,"1","1",,,,"1","1",,"1",,0,6,0,16,0,2,0,13
"G1801550","1980","A","2","3","Indiana","18",,"Switzerland","155",,,,,,,,,,,,"08",,,,,"SWITZERLAND",,,"1","1","1",,,,,"1","1","1",,,,,"1","1","1","1",,,,,,,,0,16,0,12,0,15,0,3
"G1801570","1980","A","2","3","Indiana","18","3920","Tippecanoe","157",,,,,,,,,,,,"09",,,,,"TIPPECANOE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,275,29,160,0,239,32,216
"G1801590","1980","A","2","3","Indiana","18","3850","Tipton","159",,,,,,,,,,,,"05",,,,,"TIPTON",,,,"1",,,,,,,"1","1","1",,,,,"1",,,,,,"1","1","1",,0,27,2,4,0,34,0,29
"G1801610","1980","A","2","3","Indiana","18",,"Union","161",,,,,,,,,,,,"04",,,,,"UNION",,,"1","1","1","1",,,,"1","1","1",,"1",,,"1","1","1","1",,"1",,,"1","1",,0,0,0,0,0,0,0,0
"G1801630","1980","A","2","3","Indiana","18","2440","Vanderburgh","163",,,,,,,,,,,,"E",,,,,"VANDERBURGH",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,0,144,25,76,0,176,9,154
"G1801650","1980","A","2","3","Indiana","18","8320","Vermillion","165",,,,,,,,,,,,"09",,,,,"VERMILLION",,,"1","1",,,,,,"1","1","1","1","1",,,"1","1","1","1",,"1",,,"1","1",,0,5,0,2,0,0,0,21
"G1801670","1980","A","2","3","Indiana","18","8320","Vigo","167",,,,,,,,,,,,"G",,,,,"VIGO",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,3,120,7,186,0,115,39,252
"G1801690","1980","A","2","3","Indiana","18",,"Wabash","169",,,,,,,,,,,,"09",,,,,"WABASH",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,0,50,0,15,0,33,0,18
"G1801710","1980","A","2","3","Indiana","18",,"Warren","171",,,,,,,,,,,,"09",,,,,"WARREN",,,"1","1","1",,,,,"1","1",,,,,"1","1",,,"1",,"1",,"1",,"1",,0,12,0,0,0,5,0,4
"G1801730","1980","A","2","3","Indiana","18","2440","Warrick","173",,,,,,,,,,,,"06",,,,,"WARRICK",,,,"1",,,,,,,"1",,"1",,,,,,,,,,,"1",,"1",,0,43,0,11,0,6,0,6
"G1801750","1980","A","2","3","Indiana","18",,"Washington","175",,,,,,,,,,,,"07",,,,,"WASHINGTON",,,"1","1","1",,,,,"1",,"1",,,,,"1","1",,,,,,,,,,0,28,2,11,0,18,7,11
"G1801770","1980","A","2","3","Indiana","18",,"Wayne","177",,,,,,,,,,,,"04",,,,,"WAYNE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,5,25,0,72,8,38
"G1801790","1980","A","2","3","Indiana","18","2760","Wells","179",,,,,,,,,,,,"03",,,,,"WELLS",,,,"1",,,,,,,"1","1",,,,,,"1","1",,,,,,,,,0,44,4,10,0,8,0,45
"G1801810","1980","A","2","3","Indiana","18",,"White","181",,,,,,,,,,,,"09",,,,,"WHITE",,,,"1",,,,,,,"1",,"1",,,,,,,,,,,"1",,"1",,0,26,0,3,0,11,0,24
"G1801830","1980","A","2","3","Indiana","18",,"Whitley","183",,,,,,,,,,,,"03",,,,,"WHITLEY",,,"1",,"1",,,,,"1",,"1","1",,,,"1","1",,,,,,,"1","1",,0,15,11,0,0,4,0,17
"G1900010","1980","A","2","4","Iowa","19",,"Adair","001",,,,,,,,,,,,"03",,,,,"ADAIR",,,,"1","1",,,,,,"1","1","1",,,"1",,,,,,,,"1","1","1",,0,8,0,2,0,7,0,12
"G1900030","1980","A","2","4","Iowa","19",,"Adams","003",,,,,,,,,,,,"03",,,,,"ADAMS",,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"G1900050","1980","A","2","4","Iowa","19",,"Allamakee","005",,,,,,,,,,,,"04",,,,,"ALLAMAKEE",,,,"1","1",,,,"1",,,,"1",,,"1",,,,,,"1",,,,"1",,0,6,2,0,0,10,8,12
"G1900070","1980","A","2","4","Iowa","19",,"Appanoose","007",,,,,,,,,,,,"03",,,,,"APPANOOSE",,,,,"1",,,,,,"1",,"1",,,,,"1","1",,,,,,"1",,,0,1,9,44,0,2,0,35
"G1900090","1980","A","2","4","Iowa","19",,"Audubon","009",,,,,,,,,,,,"01",,,,,"AUDUBON",,"1",,,"1","1",,,"1",,,"1",,"1",,"1",,,"1","1",,,,,,,,0,0,0,0,0,0,0,0
"G1900110","1980","A","2","4","Iowa","19",,"Benton","011",,,,,,,,,,,,"05",,,,,"BENTON",,,"1",,,,,,,,"1","1",,,,,,"1","1",,,"1",,"1",,,,0,21,0,14,0,12,0,22
"G1900130","1980","A","2","4","Iowa","19","8920","Black Hawk","013",,,,,,,,,,,,"E",,,,,"BLACK HAWK",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,206,31,46,0,172,13,110
"G1900150","1980","A","2","4","Iowa","19",,"Boone","015",,,,,,,,,,,,"02",,,,,"BOONE",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,"1","1",,,,0,0,0,17,0,5,0,6
"G1900170","1980","A","2","4","Iowa","19",,"Bremer","017",,,,,,,,,,,,"04",,,,,"BREMER",,,"1","1",,,,,,"1",,,"1",,,,,"1",,,,,"1","1",,,,0,21,0,15,0,7,0,17
"G1900190","1980","A","2","4","Iowa","19",,"Buchanan","019",,,,,,,,,,,,"04",,,,,"BUCHANAN",,,,,,,,,,"1",,,"1",,,,"1",,"1",,,,,,"1","1",,0,11,4,6,0,17,0,15
"G1900210","1980","A","2","4","Iowa","19",,"Buena Vista","021",,,,,,,,,,,,"01",,,,,"BUENA VISTA",,,"1","1",,,,,,"1",,"1",,,,,,,,,,,"1",,"1",,,0,7,0,3,0,12,0,4
"G1900230","1980","A","2","4","Iowa","19",,"Butler","023",,,,,,,,,,,,"04",,,,,"BUTLER",,,"1","1",,,,,,"1","1","1","1",,,,"1","1",,,,"1",,,"1",,,0,10,0,2,0,0,0,4
"G1900250","1980","A","2","4","Iowa","19",,"Calhoun","025",,,,,,,,,,,,"02",,,,,"CALHOUN",,,"1","1","1",,,,,,"1",,"1",,,,,,"1",,,,,"1","1","1",,0,12,0,2,0,9,3,6
"G1900270","1980","A","2","4","Iowa","19",,"Carroll","027",,,,,,,,,,,,"01",,,,,"CARROLL",,,,,"1",,,,,,"1","1",,,,"1",,"1",,,,,,"1","1",,,0,16,0,21,0,6,0,8
"G1900290","1980","A","2","4","Iowa","19",,"Cass","029",,,,,,,,,,,,"01",,,,,"CASS",,,"1","1",,,,,,,"1","1",,"1",,,,"1","1","1",,"1",,,"1",,,0,0,0,0,0,0,5,11
"G1900310","1980","A","2","4","Iowa","19",,"Cedar","031",,,,,,,,,,,,"06",,,,,"CEDAR",,,"1",,,,,,,,"1",,"1",,,,,"1","1",,,,,"1","1",,,0,44,0,4,0,17,0,19
"G1900330","1980","A","2","4","Iowa","19",,"Cerro Gordo","033",,,,,,,,,,,,"04",,,,,"CERRO GORDO",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,0,202,37,91,0,120,21,194
"G1900350","1980","A","2","4","Iowa","19",,"Cherokee","035",,,,,,,,,,,,"01",,,,,"CHEROKEE",,,,"1","1",,,,"1",,"1",,,,,"1",,"1",,"1",,,,,,"1",,0,6,0,11,0,0,0,14
"G1900370","1980","A","2","4","Iowa","19",,"Chickasaw","037",,,,,,,,,,,,"04",,,,,"CHICKASAW",,,"1","1","1","1",,,,,,,,"1",,,,,,"1",,,,,,,,0,0,0,0,0,0,0,0
"G1900390","1980","A","2","4","Iowa","19",,"Clarke","039",,,,,,,,,,,,"03",,,,,"CLARKE",,,,,"1","1",,,,,,"1","1","1",,,,,,"1",,,,,"1",,,0,0,0,0,0,0,0,0
"G1900410","1980","A","2","4","Iowa","19",,"Clay","041",,,,,,,,,,,,"02",,,,,"CLAY",,,,,,,,,,,"1",,"1",,,,,"1","1","1",,,,,"1",,,0,11,15,0,0,3,0,0
"G1900430","1980","A","2","4","Iowa","19",,"Clayton","043",,,,,,,,,,,,"04",,,,,"CLAYTON",,,"1",,,,,,,"1",,"1",,,,,"1",,"1",,,,,"1","1","1",,0,18,2,3,0,5,1,14
"G1900450","1980","A","2","4","Iowa","19",,"Clinton","045",,,,,,,,,,,,"06",,,,,"CLINTON",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,,,,,0,31,0,16,0,48,10,43
"G1900470","1980","A","2","4","Iowa","19",,"Crawford","047",,,,,,,,,,,,"01",,,,,"CRAWFORD",,,"1","1",,,,,,,,"1","1",,,,,,"1",,,"1",,,"1",,,0,17,0,6,0,7,0,19
"G1900490","1980","A","2","4","Iowa","19",,"Dallas","049",,,,,,,,,,,,"02",,,,,"DALLAS",,,"1","1","1",,,,,"1",,"1","1",,,,,"1","1",,,,"1",,,"1",,0,11,0,2,0,8,0,14
"G1900510","1980","A","2","4","Iowa","19",,"Davis","051",,,,,,,,,,,,"03",,,,,"DAVIS",,"1",,,"1","1",,,,,,,,"1",,,,,,"1",,,,,,,,0,0,0,0,0,0,0,0
"G1900530","1980","A","2","4","Iowa","19",,"Decatur","053",,,,,,,,,,,,"03",,,,,"DECATUR",,,,"1","1",,,,,,"1",,"1","1",,,"1",,,"1",,,"1","1",,,,0,0,0,3,0,14,0,22
"G1900550","1980","A","2","4","Iowa","19",,"Delaware","055",,,,,,,,,,,,"04",,,,,"DELAWARE",,,"1","1",,,,,"1",,,"1",,"1",,,,,,,,"1",,,"1","1",,0,7,0,0,0,12,0,3
"G1900570","1980","A","2","4","Iowa","19",,"Des Moines","057",,,,,,,,,,,,"06",,,,,"DES MOINES",,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,0,149,12,16,0,88,24,67
"G1900590","1980","A","2","4","Iowa","19",,"Dickinson","059",,,,,,,,,,,,"02",,,,,"DICKINSON",,,"1","1","1",,,,,"1",,,"1","1",,"1","1",,,"1",,"1",,,,"1",,0,4,0,0,0,4,2,4
"G1900610","1980","A","2","4","Iowa","19","2200","Dubuque","061",,,,,,,,,,,,"06",,,,,"DUBUQUE",,,,,,,,,,,,,,,,,,"1",,,,,,,"1",,,0,85,12,49,0,113,5,120
"G1900630","1980","A","2","4","Iowa","19",,"Emmet","063",,,,,,,,,,,,"02",,,,,"EMMET",,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,0,5
"G1900650","1980","A","2","4","Iowa","19",,"Fayette","065",,,,,,,,,,,,"04",,,,,"FAYETTE",,,,,,,,,,"1",,,"1",,,,"1",,"1",,,,,,"1","1",,0,48,7,20,0,37,16,16
"G1900670","1980","A","2","4","Iowa","19",,"Floyd","067",,,,,,,,,,,,"04",,,,,"FLOYD",,,"1","1",,,,,,,"1","1",,,,,,,"1",,,,,"1","1",,,0,16,0,9,0,4,0,18
"G1900690","1980","A","2","4","Iowa","19",,"Franklin","069",,,,,,,,,,,,"02",,,,,"FRANKLIN",,,"1","1",,,,,,,,"1","1",,,"1",,,,,,,,,"1",,,0,10,6,19,0,28,0,13
"G1900710","1980","A","2","4","Iowa","19",,"Fremont","071",,,,,,,,,,,,"01",,,,,"FREMONT",,,"1","1","1","1",,,,"1","1","1","1",,,,"1","1","1","1",,"1",,,,"1",,0,0,0,0,0,0,0,0
"G1900730","1980","A","2","4","Iowa","19",,"Greene","073",,,,,,,,,,,,"02",,,,,"GREENE",,,"1","1",,"1",,,,,"1","1",,,,"1",,"1",,,,"1",,,"1",,,0,0,0,0,0,0,0,0
"G1900750","1980","A","2","4","Iowa","19",,"Grundy","075",,,,,,,,,,,,"05",,,,,"GRUNDY",,,,"1","1","1",,,"1",,,"1",,"1",,"1",,,"1","1",,,,,,"1",,0,0,0,0,0,0,0,0
"G1900770","1980","A","2","4","Iowa","19",,"Guthrie","077",,,,,,,,,,,,"03",,,,,"GUTHRIE",,,"1","1","1",,,,,,"1","1",,,,"1",,,"1",,,,,"1","1",,,0,10,0,8,0,10,0,2
"G1900790","1980","A","2","4","Iowa","19",,"Hamilton","079",,,,,,,,,,,,"02",,,,,"HAMILTON",,,"1","1",,"1",,,,"1",,"1","1",,,,"1",,"1","1",,,,,"1",,,0,0,0,0,0,0,0,0
"G1900810","1980","A","2","4","Iowa","19",,"Hancock","081",,,,,,,,,,,,"02",,,,,"HANCOCK",,,,"1","1",,,,"1",,,,"1",,,"1",,,,,,,,,,"1",,0,7,2,7,0,3,0,14
"G1900830","1980","A","2","4","Iowa","19",,"Hardin","083",,,,,,,,,,,,"02",,,,,"HARDIN",,,,"1","1",,,,,"1",,"1",,,,"1",,,"1",,,,"1",,"1",,,0,5,19,0,0,2,8,9
"G1900850","1980","A","2","4","Iowa","19",,"Harrison","085",,,,,,,,,,,,"01",,,,,"HARRISON",,,"1","1","1","1",,,"1","1",,,,"1",,"1","1",,,"1",,,,,,"1",,0,0,0,0,0,0,0,0
"G1900870","1980","A","2","4","Iowa","19",,"Henry","087",,,,,,,,,,,,"05",,,,,"HENRY",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,,"1","1",,,0,26,5,29,0,31,0,8
"G1900890","1980","A","2","4","Iowa","19",,"Howard","089",,,,,,,,,,,,"04",,,,,"HOWARD",,,"1","1","1","1",,,"1",,,"1",,"1",,"1",,,"1","1",,,,,,"1",,0,0,0,0,0,0,0,0
"G1900910","1980","A","2","4","Iowa","19",,"Humboldt","091",,,,,,,,,,,,"02",,,,,"HUMBOLDT",,,"1","1","1","1",,,,,,"1","1",,,,,,"1","1",,,,,"1",,,0,0,0,0,0,0,0,0
"G1900930","1980","A","2","4","Iowa","19",,"Ida","093",,,,,,,,,,,,"01",,,,,"IDA",,,"1",,"1","1",,,"1","1",,,,,,,,,,,,"1","1",,,,,0,0,0,0,0,0,0,0
"G1900950","1980","A","2","4","Iowa","19",,"Iowa","095",,,,,,,,,,,,"05",,,,,"IOWA",,,"1","1",,,,,,,,"1","1","1",,,,,"1","1",,"1",,,"1",,,0,6,0,13,0,3,0,2
"G1900970","1980","A","2","4","Iowa","19",,"Jackson","097",,,,,,,,,,,,"06",,,,,"JACKSON",,,"1","1",,,,,,"1",,"1",,"1",,,"1","1",,,,,,,,"1",,0,0,4,6,0,0,4,19
"G1900990","1980","A","2","4","Iowa","19",,"Jasper","099",,,,,,,,,,,,"05",,,,,"JASPER",,,,"1",,,,,,,,"1","1",,,,,"1",,,,,"1","1","1",,,0,21,2,7,0,18,0,7
"G1901010","1980","A","2","4","Iowa","19",,"Jefferson","101",,,,,,,,,,,,"03",,,,,"JEFFERSON",,,,,,,,,,,,"1","1",,,,,"1","1","1",,,,,"1",,,0,6,0,31,0,23,6,9
"G1901030","1980","A","2","4","Iowa","19","3500","Johnson","103",,,,,,,,,,,,"06",,,,,"JOHNSON",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,163,25,123,0,188,6,93
