GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHZ001,DHZ002,DHZ003,DHZ004,DHZ005,DHZ006,DHZ007,DHZ008
"G4800330","1980","A","3","7","Texas","48",,"Borden","033",,,,,,,,,,,,"06",,,,,"BORDEN",,,"1","1",,,,,,"1",,,"1",,,,,,,"1",,,"1",,,,,0,19,0,1,0,0,0,30
"G4800350","1980","A","3","7","Texas","48",,"Bosque","035",,,,,,,,,,,,"07",,,,,"BOSQUE",,,,,,,,,,,,,,,,,,"1",,,,,,"1","1",,,0,221,11,46,0,112,3,89
"G4800370","1980","A","3","7","Texas","48","8360","Bowie","037",,,,,,,,,,,,"12",,,,,"BOWIE",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,159,3,179,0,113,10,134
"G4800390","1980","A","3","7","Texas","48","3360","Brazoria","039",,,,,,"42",,,,,,"14",,,,,"BRAZORIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6011,199,2121,0,2804,114,3063
"G4800410","1980","A","3","7","Texas","48","1260","Brazos","041",,,,,,,,,,,,"09",,,,,"BRAZOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2442,82,1270,0,1467,74,1263
"G4800430","1980","A","3","7","Texas","48",,"Brewster","043",,,,,,,,,,,,"01",,,,,"BREWSTER",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,,,,,0,717,41,326,0,539,56,578
"G4800450","1980","A","3","7","Texas","48",,"Briscoe","045",,,,,,,,,,,,"04",,,,,"BRISCOE",,,,"1",,,,,,,"1",,"1",,,,"1",,,,,,,"1",,,,0,74,14,27,0,19,3,89
"G4800470","1980","A","3","7","Texas","48",,"Brooks","047",,,,,,,,,,,,"03",,,,,"BROOKS",,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1563,85,766,0,951,44,1603
"G4800490","1980","A","3","7","Texas","48",,"Brown","049",,,,,,,,,,,,"06",,,,,"BROWN",,,,,,,,,,,,,,,,,,,"1",,,,,,"1",,,0,550,34,214,0,382,30,341
"G4800510","1980","A","3","7","Texas","48",,"Burleson","051",,,,,,,,,,,,"09",,,,,"BURLESON",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,0,286,0,113,0,195,7,164
