"","state","county","POP","DATE_DESC","DATE","GEONAME","HISP","place","year"
"85","22","087","1634","7/1/2006 population estimate","8","St. Bernard Parish, Louisiana","2","St. Bernard","2006"
"86","22","087","2254","7/1/2007 population estimate","9","St. Bernard Parish, Louisiana","2","St. Bernard","2007"
"87","22","087","2687","7/1/2008 population estimate","10","St. Bernard Parish, Louisiana","2","St. Bernard","2008"
"88","22","087","3112","7/1/2009 population estimate","11","St. Bernard Parish, Louisiana","2","St. Bernard","2009"
"89","22","089","2236","7/1/2006 population estimate","8","St. Charles Parish, Louisiana","2","St. Charles","2006"
"90","22","089","2382","7/1/2007 population estimate","9","St. Charles Parish, Louisiana","2","St. Charles","2007"
"91","22","089","2445","7/1/2008 population estimate","10","St. Charles Parish, Louisiana","2","St. Charles","2008"
"92","22","089","2535","7/1/2009 population estimate","11","St. Charles Parish, Louisiana","2","St. Charles","2009"
"93","22","093","210","7/1/2006 population estimate","8","St. James Parish, Louisiana","2","St. James","2006"
"94","22","093","224","7/1/2007 population estimate","9","St. James Parish, Louisiana","2","St. James","2007"
"95","22","093","222","7/1/2008 population estimate","10","St. James Parish, Louisiana","2","St. James","2008"
"96","22","093","261","7/1/2009 population estimate","11","St. James Parish, Louisiana","2","St. James","2009"
"97","22","095","2046","7/1/2006 population estimate","8","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2006"
"98","22","095","2092","7/1/2007 population estimate","9","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2007"
"99","22","095","2184","7/1/2008 population estimate","10","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2008"
"100","22","095","2162","7/1/2009 population estimate","11","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2009"
"101","22","103","8683","7/1/2006 population estimate","8","St. Tammany Parish, Louisiana","2","St. Tammany","2006"
"102","22","103","9332","7/1/2007 population estimate","9","St. Tammany Parish, Louisiana","2","St. Tammany","2007"
"103","22","103","10009","7/1/2008 population estimate","10","St. Tammany Parish, Louisiana","2","St. Tammany","2008"
"104","22","103","10395","7/1/2009 population estimate","11","St. Tammany Parish, Louisiana","2","St. Tammany","2009"
"105",NA,NA,"14826",NA,NA,NA,NA,"Orleans","2000"
"106",NA,NA,"32418",NA,NA,NA,NA,"Jefferson","2000"
"107",NA,NA,"4737",NA,NA,NA,NA,"St. Tammany","2000"
"108",NA,NA,"433",NA,NA,NA,NA,"Plaquemines","2000"
"109",NA,NA,"3425",NA,NA,NA,NA,"St. Bernard","2000"
"110",NA,NA,"1346",NA,NA,NA,NA,"St. Charles","2000"
"111",NA,NA,"130",NA,NA,NA,NA,"St. James","2000"
"112",NA,NA,"1230",NA,NA,NA,NA,"St. John the Baptist","2000"
