GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I9HE001,I9HE002,I9HE003,I9HE004,I9HE005,I9HE006,I9HE007,I9HE008,I9HE009,I9HE010,I9HE011,I9HE012,I9HE013,I9HE014,I9HE015,I9HE016,I9HE017,I9HE018,I9HE019,I9HE020,I9HE021,I9HE022,I9HE023,I9HE024,I9HE025,I9HE026,I9HE027,I9TE001,I9TE002,I9TE003,I9TE004,I9TE005,I9TE006,I9TE007,I9TE008,I9TE009,I9TE010,I9TE011,I9TE012,I9TE013,I9TE014,I9TE015,I9TE016,I9TE017,I9TE018,I9TE019,I9TE020,I9TE021,I9TE022,I9TE023,I9TE024,I9TE025,I9TE026,I9TE027,I9VE001,I9VE002,I9VE003,I9VE004,I9VE005,I9VE006,I9VE007,I9VE008,I9VE009,I9VE010,I9VE011,I9VE012,I9VE013,I9VE014,I9VE015,I9VE016,I9VE017,I9VE018,I9VE019,I9VE020,I9VE021,I9VE022,I9VE023,I9VE024,I9VE025,I9VE026,I9VE027,NAME_M,I9HM001,I9HM002,I9HM003,I9HM004,I9HM005,I9HM006,I9HM007,I9HM008,I9HM009,I9HM010,I9HM011,I9HM012,I9HM013,I9HM014,I9HM015,I9HM016,I9HM017,I9HM018,I9HM019,I9HM020,I9HM021,I9HM022,I9HM023,I9HM024,I9HM025,I9HM026,I9HM027,I9TM001,I9TM002,I9TM003,I9TM004,I9TM005,I9TM006,I9TM007,I9TM008,I9TM009,I9TM010,I9TM011,I9TM012,I9TM013,I9TM014,I9TM015,I9TM016,I9TM017,I9TM018,I9TM019,I9TM020,I9TM021,I9TM022,I9TM023,I9TM024,I9TM025,I9TM026,I9TM027,I9VM001,I9VM002,I9VM003,I9VM004,I9VM005,I9VM006,I9VM007,I9VM008,I9VM009,I9VM010,I9VM011,I9VM012,I9VM013,I9VM014,I9VM015,I9VM016,I9VM017,I9VM018,I9VM019,I9VM020,I9VM021,I9VM022,I9VM023,I9VM024,I9VM025,I9VM026,I9VM027
"G1701630","2010","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",60765,26776,23973,15948,357,15591,12179,3412,8025,2803,324,324,0,2479,33989,29689,19899,124,19775,16871,2904,9790,4300,345,345,0,3955,138311,67278,56488,47276,1529,45747,41970,3777,9212,10790,1437,1437,0,9353,71033,56056,41505,294,41211,38615,2596,14551,14977,2078,2078,0,12899,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Illinois",702,418,418,1583,382,1538,1556,761,1590,267,227,227,267,227,585,542,1389,129,1385,1425,885,1309,186,244,244,267,324,660,522,522,1516,564,1656,1793,855,1478,267,427,427,267,427,467,467,1610,205,1631,1910,850,1610,267,605,605,267,605,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1701670","2010","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",16735,7719,7183,5084,0,5084,4139,945,2099,536,39,39,0,497,9016,8191,6495,0,6495,5409,1086,1696,825,72,0,72,753,133009,63159,52696,42765,173,42592,39719,2873,9931,10463,2461,2446,15,8002,69850,54812,42917,0,42917,40478,2439,11895,15038,1819,1769,50,13219,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sangamon County, Illinois",884,890,998,947,267,947,1080,568,684,318,65,65,267,317,318,314,791,267,791,759,485,761,107,116,267,116,151,523,399,399,1387,120,1383,1368,701,1481,267,604,605,25,604,295,295,1370,267,1370,1413,748,1368,267,566,545,85,566,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1701790","2010","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,102229,49671,40673,32694,128,32566,29321,3245,7979,8998,1756,1724,32,7242,52558,40634,29135,30,29105,26549,2556,11499,11924,1113,1064,49,10811,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tazewell County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,595,435,435,1466,142,1462,1394,896,1450,267,448,446,37,448,411,411,1195,37,1200,1339,746,1180,267,373,369,80,373,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1701830","2010","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,53106,25708,20354,15366,22,15344,13264,2080,4988,5354,1052,1052,0,4302,27398,20456,13928,0,13928,12903,1025,6528,6942,507,507,0,6435,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermilion County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,395,249,249,937,37,939,1042,619,968,267,433,433,267,433,292,266,918,267,918,947,456,951,85,246,246,267,253,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1701970","2010","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",54623,25589,23778,16616,68,16548,13548,3000,7162,1811,928,858,70,883,29034,26683,18663,0,18663,15502,3161,8020,2351,235,235,0,2116,353489,173446,150452,129221,69,129152,113073,16079,21231,22994,4297,4037,260,18697,180043,150264,111325,0,111325,101572,9753,38939,29779,3796,3674,122,25983,68651,35031,33479,27804,0,27804,24007,3797,5675,1552,374,374,0,1178,33620,31761,19100,0,19100,16467,2633,12661,1859,239,239,0,1620,"Will County, Illinois",1358,867,838,1235,112,1235,1391,826,1221,166,318,331,114,315,845,789,1302,267,1302,1454,1018,1310,281,288,288,267,431,1216,698,698,1611,113,1617,2412,2010,1691,267,823,842,183,823,1035,1044,3146,267,3146,3067,1467,2864,92,980,975,122,964,608,481,482,1161,267,1161,1559,1340,1179,0,302,302,267,302,319,319,1476,267,1476,1817,845,1502,0,376,376,267,376
"G1701990","2010","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,49377,23943,19426,15140,48,15092,13592,1500,4286,4517,424,424,0,4093,25434,19392,12235,0,12235,11316,919,7157,6042,900,900,0,5142,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamson County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,375,199,199,663,83,668,723,502,698,267,299,299,267,299,311,311,1018,267,1018,997,372,1058,267,466,466,267,466,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1702010","2010","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",25440,12204,11162,6119,0,6119,3830,2289,5043,1042,186,186,0,856,13236,11782,7040,0,7040,5913,1127,4742,1454,60,60,0,1394,177002,85325,69663,56699,0,56699,48526,8173,12964,15662,2772,2581,191,12890,91677,70791,52893,0,52893,47142,5751,17898,20886,2633,2349,284,18253,19852,10319,9565,7863,0,7863,6627,1236,1702,754,129,66,63,625,9533,8954,6384,0,6384,5400,984,2570,579,42,42,0,537,"Winnebago County, Illinois",609,326,326,984,267,984,1123,736,908,267,151,151,267,151,519,517,990,267,990,973,454,943,95,97,97,267,133,589,473,473,1831,267,1831,2133,1564,1957,267,607,556,184,607,439,432,1836,267,1836,2108,1097,1860,79,702,663,210,729,382,204,365,673,267,673,869,658,676,308,151,113,106,341,316,350,831,267,831,931,457,839,301,70,70,267,294
"G1800030","2010","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",29404,13699,12501,8230,0,8230,6465,1765,4271,1198,175,175,0,1023,15705,13893,8748,0,8748,7556,1192,5145,1812,185,185,0,1627,216101,103981,88079,72300,143,72157,64958,7199,15779,15902,2598,2509,89,13304,112120,90210,64711,76,64635,58322,6313,25499,21910,3407,3084,323,18503,14186,7351,6967,5337,0,5337,4780,557,1630,384,0,0,0,384,6835,6316,4336,0,4336,3828,508,1980,519,208,208,0,311,"Allen County, Indiana",1036,447,446,898,267,898,956,577,828,96,158,158,267,177,749,764,965,267,965,933,508,1107,93,260,260,267,307,756,573,573,1907,140,1918,2131,966,1972,267,485,472,106,485,564,564,2301,129,2287,2299,1107,2244,267,661,603,203,661,254,359,373,568,267,568,677,528,600,279,267,267,267,279,368,406,625,267,625,643,349,559,314,224,224,267,275
"G1800050","2010","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,53525,25636,21096,16960,78,16882,16292,590,4136,4540,870,870,0,3670,27889,21927,15997,181,15816,14535,1281,5930,5962,545,545,0,5417,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bartholomew County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,268,234,234,865,135,854,837,285,906,267,353,353,267,353,172,172,951,285,991,1132,523,966,267,251,251,267,251,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800190","2010","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,76556,36813,31204,25162,0,25162,22022,3140,6042,5609,899,844,55,4710,39743,31998,24307,0,24307,22843,1464,7691,7745,1038,924,114,6707,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,489,266,266,1166,267,1166,1240,776,1180,267,302,301,94,302,404,404,1166,267,1166,1289,627,1172,267,376,354,126,376,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800350","2010","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,86979,41394,34378,24791,0,24791,20496,4295,9587,7016,1000,861,139,6016,45585,36282,26356,0,26356,23145,3211,9926,9303,715,715,0,8588,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,489,360,360,1254,267,1254,1563,905,1323,267,362,368,172,362,346,346,1122,267,1122,1298,910,1143,267,299,299,267,299,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800390","2010","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,120138,57759,48101,40541,0,40541,35426,5115,7560,9658,2314,2314,0,7344,62379,49409,34409,0,34409,31115,3294,15000,12970,1664,1414,250,11306,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elkhart County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,585,408,408,1204,267,1204,1798,1236,1306,267,567,567,267,567,522,522,1686,267,1686,1975,988,1741,267,607,546,208,607,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800430","2010","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,54149,25827,21919,17439,0,17439,15506,1933,4480,3908,717,717,0,3191,28322,22997,16482,0,16482,15236,1246,6515,5325,919,872,47,4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Floyd County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,322,227,227,731,267,731,917,599,806,267,409,409,267,409,217,217,901,267,901,1047,613,897,267,414,413,78,414,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800530","2010","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,50388,23579,19104,13735,0,13735,11631,2104,5369,4475,1038,962,76,3437,26809,20707,14623,245,14378,12796,1582,6084,6102,531,531,0,5571,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,385,260,260,924,267,924,924,518,914,267,337,326,92,337,279,279,1034,336,1017,1159,690,985,267,306,306,267,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800570","2010","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,178396,85969,76139,67254,136,67118,63052,4066,8885,9830,3810,3606,204,6020,92427,79717,59274,0,59274,56563,2711,20443,12710,2087,2021,66,10623,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,635,461,461,1343,159,1347,1680,1098,1407,267,780,787,204,780,473,473,2440,267,2440,2427,772,2457,267,596,595,106,596,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800590","2010","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,51489,24740,20769,16943,0,16943,15273,1670,3826,3971,414,414,0,3557,26749,21935,15297,0,15297,14228,1069,6638,4814,388,388,0,4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,353,311,311,964,267,964,1074,709,1012,267,295,295,267,295,164,164,1314,267,1314,1214,461,1307,267,274,274,267,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800630","2010","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,99578,48914,42353,34874,62,34812,32675,2137,7479,6561,1400,1332,68,5161,50664,42146,30385,0,30385,28591,1794,11761,8518,1177,1123,54,7341,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hendricks County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,558,297,297,979,103,973,1148,781,951,267,485,471,114,485,464,464,1376,267,1376,1398,713,1357,267,562,551,91,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800670","2010","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",4488,2031,1910,1336,0,1336,1069,267,574,121,0,0,0,121,2457,2075,1537,0,1537,1094,443,538,382,0,0,0,382,58722,27784,22430,16885,88,16797,14013,2784,5545,5354,1001,855,146,4353,30938,23662,15126,0,15126,13748,1378,8536,7276,596,596,0,6680,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Indiana",296,257,245,203,267,203,287,167,257,109,267,267,267,109,381,425,358,267,358,429,404,326,272,267,267,267,272,319,212,212,1049,143,1044,1143,1003,1067,267,453,438,142,453,247,247,940,267,940,1091,582,931,267,378,378,267,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800810","2010","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,99552,47823,40607,34531,199,34332,31482,2850,6076,7216,1695,1636,59,5521,51729,42071,31107,57,31050,28472,2578,10964,9658,1063,1063,0,8595,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,771,555,555,2002,214,1918,1837,964,2026,267,557,551,101,557,568,568,1475,95,1475,1546,874,1508,267,455,455,267,455,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800850","2010","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,54728,26959,22428,18861,0,18861,16904,1957,3567,4531,1411,1395,16,3120,27769,22071,15817,0,15817,14550,1267,6254,5698,590,590,0,5108,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kosciusko County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,300,240,240,709,267,709,1066,750,713,267,420,420,26,420,343,343,1130,267,1130,1174,487,1113,267,441,441,267,441,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800890","2010","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",93357,40395,34934,20651,0,20651,15873,4778,14283,5461,635,635,0,4826,52962,44635,30343,0,30343,24063,6280,14292,8327,832,766,66,7495,226277,110134,90851,74394,121,74273,67119,7154,16457,19283,3529,3420,109,15754,116143,89269,62752,0,62752,57359,5393,26517,26874,2245,2188,57,24629,56131,28180,25811,20154,0,20154,17550,2604,5657,2369,382,340,42,1987,27951,25111,13876,0,13876,12034,1842,11235,2840,333,301,32,2507,"Lake County, Indiana",1100,801,793,2209,267,2209,2077,990,2025,99,290,290,267,313,697,697,1664,267,1664,1884,1005,1565,267,383,376,109,383,1130,616,616,1714,148,1708,1796,1169,1715,267,854,853,127,854,722,722,2516,267,2516,2539,1046,2491,267,586,572,98,586,581,402,402,1263,267,1263,1445,852,1285,0,268,255,71,268,373,373,1054,267,1054,1070,687,1135,0,197,195,50,196
"G1800910","2010","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,74632,37600,31274,22644,0,22644,19828,2816,8630,6326,1292,1189,103,5034,37032,28619,21077,0,21077,19132,1945,7542,8413,1239,1215,24,7174,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LaPorte County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,359,270,270,1823,267,1823,1712,774,1801,267,484,451,122,484,240,240,1146,267,1146,1344,655,1107,267,437,425,41,437,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800950","2010","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",7041,3723,3525,1811,0,1811,1159,652,1714,198,55,55,0,143,3318,2841,1666,0,1666,1307,359,1175,477,28,28,0,449,92277,44711,36534,27341,52,27289,24316,2973,9193,8177,964,964,0,7213,47566,36701,25314,0,25314,22949,2365,11387,10865,1197,925,272,9668,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Indiana",993,692,690,525,267,525,484,358,552,162,93,93,267,138,603,507,410,267,410,416,209,476,188,54,54,267,187,450,336,336,1233,84,1249,1415,907,1237,267,431,431,267,431,324,324,1204,267,1204,1329,717,1215,267,509,403,311,509,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800970","2010","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",177191,78387,70808,50720,0,50720,37689,13031,20088,7579,1529,1312,217,6050,98804,86775,62847,0,62847,51416,11431,23928,12029,2344,2051,293,9685,445703,212727,182856,149449,206,149243,132002,17241,33407,29871,6744,6299,445,23127,232976,189649,140315,0,140315,127846,12469,49334,43327,4856,4602,254,38471,54821,30482,30168,26184,0,26184,23052,3132,3984,314,0,0,0,314,24339,23846,14512,0,14512,11625,2887,9334,493,37,37,0,456,"Marion County, Indiana",2001,1171,1134,2423,267,2423,2200,1932,2355,203,490,445,221,483,1407,1371,2176,267,2176,2787,2116,2102,264,676,644,313,689,1108,924,924,2714,196,2727,3501,2147,2676,267,1075,1049,302,1075,807,807,2966,267,2966,3089,1735,2911,267,1012,971,158,1012,435,404,455,1208,267,1208,1332,993,1294,277,267,267,267,277,325,390,1243,267,1243,1458,1077,1305,244,62,62,267,235
"G1801050","2010","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,102822,50298,44486,29384,60,29324,26667,2657,15102,5812,830,763,67,4982,52524,44741,28817,0,28817,26666,2151,15924,7783,777,723,54,7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,485,484,484,1845,107,1864,1871,741,1845,267,332,307,110,332,85,85,2171,267,2171,2067,628,2166,267,375,352,92,375,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1801090","2010","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,52290,25736,21748,17492,68,17424,15120,2304,4256,3988,536,471,65,3452,26554,21676,15085,0,15085,13824,1261,6591,4878,542,495,47,4336,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,352,312,312,1092,114,1078,1237,814,1161,267,233,218,114,233,311,311,1032,267,1032,1067,520,994,267,278,274,88,278,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1801270","2010","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,114607,55799,47369,38501,177,38324,34881,3443,8868,8430,1526,1434,92,6904,58808,47847,31388,0,31388,28464,2924,16459,10961,1329,1206,123,9632,9022,4479,3861,3074,0,3074,2420,654,787,618,0,0,0,618,4543,4141,2312,0,2312,2062,250,1829,402,37,37,0,365,"Porter County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,640,425,425,1330,189,1327,1373,1039,1328,267,393,399,111,393,484,484,1893,267,1893,1857,946,1960,267,469,448,173,469,173,402,399,465,267,465,612,434,508,357,267,267,267,357,429,400,661,267,661,579,272,632,303,65,65,267,308
"G1801410","2010","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",24412,11048,10007,7262,0,7262,4300,2962,2745,1041,300,300,0,741,13364,11715,8788,0,8788,6933,1855,2927,1649,193,193,0,1456,165475,79301,66015,52542,58,52484,44782,7702,13473,13286,2558,2494,64,10728,86174,67431,49976,0,49976,45177,4799,17455,18743,2745,2588,157,15998,12548,6598,6127,4668,0,4668,3886,782,1459,471,189,189,0,282,5950,5734,3641,0,3641,2583,1058,2093,216,100,100,0,116,"St. Joseph County, Indiana",585,470,470,814,267,814,903,1022,848,267,295,295,267,295,345,345,764,267,764,809,536,724,267,176,176,267,176,635,449,451,1888,94,1886,2169,1364,1900,36,494,484,87,500,551,551,1876,267,1876,1981,1223,1903,267,572,579,137,572,78,344,420,537,267,537,551,332,400,246,164,164,267,211,346,307,517,267,517,592,409,573,206,150,150,267,151
"G1801570","2010","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,116713,58578,51906,39312,47,39265,35448,3817,12594,6672,1159,1159,0,5513,58135,49109,33307,0,33307,29974,3333,15802,9026,803,675,128,8223,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tippecanoe County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,611,499,499,2140,81,2134,2097,1061,2202,267,386,386,267,386,372,372,1649,267,1649,1808,1130,1740,267,371,338,155,371,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1801630","2010","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",11811,5349,4870,2830,0,2830,2184,646,2040,479,122,122,0,357,6462,5572,3110,0,3110,2899,211,2462,890,118,118,0,772,126490,60091,50208,39759,209,39550,36406,3144,10449,9883,2391,2304,87,7492,66399,52050,40178,0,40178,37818,2360,11872,14349,1403,1403,0,12946,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vanderburgh County, Indiana",618,537,601,712,267,712,657,455,625,262,137,137,267,233,269,269,765,267,765,839,264,814,267,132,132,267,132,517,394,394,1388,199,1420,1523,892,1442,267,585,572,146,585,371,371,1217,267,1217,1204,671,1259,267,434,434,267,434,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1801670","2010","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,77060,37651,32150,23808,365,23443,22123,1320,8342,5501,1144,1144,0,4357,39409,31184,19275,0,19275,18027,1248,11909,8225,1003,913,90,7222,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vigo County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,467,266,266,1523,299,1494,1593,737,1535,267,400,400,267,400,350,340,1463,267,1463,1458,529,1539,71,378,333,111,385,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1801770","2010","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,49464,23410,18939,14019,0,14019,12046,1973,4920,4471,696,605,91,3775,26054,19780,13767,31,13736,11973,1763,6013,6274,711,679,32,5563,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,342,253,253,962,267,962,1047,750,967,267,277,261,114,277,263,263,966,58,979,921,515,1002,267,281,279,54,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1900130","2010","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,,91839,44058,36737,30523,60,30463,27484,2979,6214,7321,1821,1821,0,5500,47781,38100,28699,61,28638,27249,1389,9401,9681,599,559,40,9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Black Hawk County, Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,,473,390,390,1282,80,1286,1018,877,1180,228,529,529,228,529,225,225,1515,96,1508,1598,609,1529,228,312,311,65,312,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1900490","2010","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,,44439,21230,18504,16377,0,16377,15570,807,2127,2726,660,643,17,2066,23209,19607,16386,0,16386,15994,392,3221,3602,450,450,0,3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,,260,212,212,610,228,610,790,456,600,228,332,326,29,332,177,177,779,228,779,843,261,778,228,236,236,228,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1900610","2010","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,,70114,34100,28095,22773,14,22759,21753,1006,5322,6005,1525,1470,55,4480,36014,27759,23487,0,23487,22351,1136,4272,8255,944,884,60,7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dubuque County, Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,,396,219,219,1065,25,1065,1017,455,1030,228,401,384,97,401,326,326,922,228,922,1072,517,821,228,351,339,102,351,,,,,,,,,,,,,,,,,,,,,,,,,,,
