"","CensusYear","Population"
"591",2012,38756150
"592",2018,40860704
"593",2019,41147488
"594",2015,16816
"595",2016,16504
"596",2013,28116
"597",2014,28387
"598",2019,40539
"599",2012,20936
"600",2013,21077
"601",2013,5815
"602",2014,5810
"603",2016,8579
"604",2017,8566
"605",2019,6605
"606",2011,13704
"607",2012,13653
"608",2010,8976
"609",2016,1691
"610",2016,6934
"611",2017,6828
"612",2011,4606
"613",2012,1473295
"614",2019,1500991
"615",2018,3967
"616",2019,3967
"617",2019,10963
"618",2019,13760
"619",2019,5232
"620",2012,10727
"621",2013,10618
"622",2011,24126
"623",2012,24144
"624",2019,33817
"625",2011,16091
"626",2014,39488757
"627",2012,17187
"628",2013,17190
"629",2011,27075
"630",2012,27420
"631",2015,38691
"632",2016,39272
"633",2018,2409
"634",2019,2342
"635",2019,20920
"636",2011,6096
"637",2011,8307
"638",2012,8371
"639",2011,7247
"640",2010,13787
"641",2015,9852
"642",2016,10066
"643",2017,1691
"644",2018,1701
"645",2010,7238
"646",2018,6839
"647",2017,4353
"648",2018,4337
"649",2011,1463356
"650",2018,1502395
"651",2015,11313
"652",2016,11247
"653",2011,5913
"654",2012,5845
"655",2019,29829
"656",2015,6796
"657",2016,6701
"658",2010,12339
"659",2014,5756
"660",2015,5762
"661",2000,323392
