GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,DHN001,DHN002,DHN003,DHN004,DHN005,DHN006,DHN007,DHN008,DHN009,DHN010,DHN011,DHN012,DHN013,DHN014,DHN015,DHN016,DHN017,DHN018,DHN019,DHN020,DHN021,DHN022,DHN023,DHN024,DHN025,DHO001,DHO002,DHO003,DHO004,DHO005
"G0100990","1980","3","6","Alabama","01",,"Monroe","099",,,,,,,,,,,,"MONROE",1819,1225,3055,892,860,2051,979,944,204,201,0,5,61,11,7,0,0,0,0,0,0,0,0,0,0,49,10,22,0,0
"G0101010","1980","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,,,,"MONTGOMERY",7320,9399,25579,13408,17147,12100,7543,8564,3694,4611,13,20,14,32,12,77,41,145,38,181,0,28,39,38,38,245,112,260,127,106
"G0101030","1980","3","6","Alabama","01",,"Morgan","103",,,,,,,,,,,,"MORGAN",9930,8383,17218,6456,5936,1487,1043,1072,335,186,4,18,13,20,7,60,19,8,18,35,0,7,0,14,0,139,62,43,35,57
"G0101050","1980","3","6","Alabama","01",,"Perry","105",,,,,,,,,,,,"PERRY",982,537,1232,320,520,2114,827,784,286,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,13,8,1
"G0101070","1980","3","6","Alabama","01",,"Pickens","107",,,,,,,,,,,,"PICKENS",2113,1586,2831,665,692,2168,924,779,168,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,22,2,28
"G0101090","1980","3","6","Alabama","01",,"Pike","109",,,,,,,,,,,,"PIKE",2511,1964,3067,1218,1557,2386,984,907,178,133,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,92,12,38,10,0
"G0101110","1980","3","6","Alabama","01",,"Randolph","111",,,,,,,,,,,,"RANDOLPH",3161,2074,2767,741,747,1194,522,418,91,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,30,9,6
"G0101130","1980","3","6","Alabama","01","1800","Russell","113",,,,,,,,,,,,"RUSSELL",4562,3693,5862,1944,1275,5007,2023,1730,334,254,11,0,27,0,0,11,0,37,6,7,7,0,0,0,0,60,15,72,12,0
"G0101150","1980","3","6","Alabama","01","1000","St Clair","115",,,,,,,,,,,,"ST. CLAIR",5940,4410,7515,2209,1457,910,502,414,118,50,45,4,14,0,0,0,0,0,0,0,0,0,0,0,0,41,31,24,21,6
"G0101170","1980","3","6","Alabama","01","1000","Shelby","117",,,,,,,,,,,,"SHELBY",6165,5368,10878,4848,6329,1155,740,815,287,140,0,0,0,0,0,3,5,13,35,76,0,0,0,0,0,33,51,38,40,50
"G0101190","1980","3","6","Alabama","01",,"Sumter","119",,,,,,,,,,,,"SUMTER",338,444,1234,560,558,2690,1093,1064,254,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,14,17,15,7
"G0101210","1980","3","6","Alabama","01",,"Talladega","121",,,,,,,,,,,,"TALLADEGA",8211,5917,10346,3427,2594,3933,2542,2408,564,534,0,8,3,6,7,0,6,8,0,0,7,0,0,7,19,107,71,130,12,8
"G0101230","1980","3","6","Alabama","01",,"Tallapoosa","123",,,,,,,,,,,,"TALLAPOOSA",4628,3523,5861,2044,1743,2457,1212,1028,226,143,0,0,0,0,0,36,9,5,9,6,0,0,0,0,0,115,54,25,0,12
"G0101250","1980","3","6","Alabama","01","8600","Tuscaloosa","125",,,,,,,,,,,,"TUSCALOOSA",10072,9064,18985,7066,10499,6268,3954,3907,1943,1577,19,20,7,6,7,7,29,31,36,117,0,0,25,7,37,153,83,114,67,113
