GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E4J001,E4J002,E4J003,E4J004,E4J005,E4J006,E4J007,E4J008,E4J009,E4J010,E4J011,E4J012,E4J013,E4J014,E4J015,E4J016,E4J017,E4J018,E4J019,E4J020,E4J021,E4J022,E4J023,E4J024,E4J025,E4J026,E4J027,E4J028,E4J029,E4J030,E4J031,E4J032,E4J033,E4J034,E4J035,E4J036,E4J037,E4J038,E4J039,E4J040
"G2000330","1990","KS",,,,,,,,,,,"99","Comanche","033",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002041855","0000003595","Comanche County","A","+37186195","-099281595","06",0,568,23,252,0,462,10,476,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"G2000350","1990","KS",,,,,,,,,,,"99","Cowley","035",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002917232","0000016395","Cowley County","A","+37230648","-096836897","06",15,8489,437,3512,36,7016,343,6471,0,182,33,302,0,121,18,151,0,149,20,78,0,143,10,99,7,105,26,6,0,81,7,68,0,88,15,62,0,102,0,66
"G2000370","1990","KS",,,,,,,,,,,"99","Crawford","037",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001535816","0000005514","Crawford County","A","+37507735","-094851121","06",37,7869,566,4090,17,6580,502,7375,0,81,27,47,0,90,7,146,0,52,11,47,0,57,27,59,0,91,16,68,0,44,16,110,0,37,7,0,0,4,0,9
"G2000390","1990","KS",,,,,,,,,,,"99","Decatur","039",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002314410","0000001642","Decatur County","A","+39784953","-100460052","06",2,1036,27,380,0,814,27,768,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"G2000410","1990","KS",,,,,,,,,,,"99","Dickinson","041",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002197463","0000010922","Dickinson County","A","+38864092","-097157586","06",218,4685,130,1716,14,3773,133,3599,4,16,2,22,0,12,8,25,0,7,0,3,0,26,7,20,0,0,0,2,0,4,0,14,0,32,0,20,0,24,0,13
"G2000430","1990","KS",,,,,,,,,,,"99","Doniphan","043",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001015813","0000012665","Doniphan County","A","+39788908","-095147708","06",25,1893,97,874,0,1488,103,1553,0,33,3,33,0,15,0,36,0,8,4,8,0,11,2,23,0,6,3,0,0,7,0,2,0,3,0,0,0,3,0,9
"G2000450","1990","KS",,,,,,,,,,,"99","Douglas","045",,,"4","4150",,,,"9999","2","Kansas","20",,,,,"0001183540","0000045422","Douglas County","A","+38884404","-095286933","06",117,19949,1129,8088,11,17486,816,12064,9,639,88,457,0,637,88,506,0,400,80,286,0,467,39,371,0,693,26,435,0,428,11,686,0,251,29,89,0,136,9,133
"G2000470","1990","KS",,,,,,,,,,,"99","Edwards","047",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001611113","0000000209","Edwards County","A","+37883476","-099304068","06",2,938,29,360,0,709,23,765,0,0,0,2,0,0,0,0,0,22,0,0,0,3,0,2,0,5,0,0,0,2,0,0,0,24,4,10,0,11,8,10
"G2000490","1990","KS",,,,,,,,,,,"99","Elk","049",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001677947","0000006607","Elk County","A","+37456649","-096244716","06",0,756,37,431,0,568,14,804,0,0,0,7,0,0,0,0,0,5,4,12,0,16,0,7,0,0,0,0,0,3,0,2,0,0,1,0,0,6,0,5
"G2000510","1990","KS",,,,,,,,,,,"99","Ellis","051",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002331045","0000001299","Ellis County","A","+38916464","-099314761","06",21,6791,256,2286,9,6344,234,3677,7,0,9,17,0,7,0,10,0,16,0,0,0,10,0,0,0,37,0,54,11,19,0,7,0,31,0,7,0,0,0,12
"G2000530","1990","KS",,,,,,,,,,,"99","Ellsworth","053",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001854269","0000019522","Ellsworth County","A","+38695772","-098204928","06",5,1454,52,1041,0,1196,31,1236,0,4,3,114,0,3,0,3,0,3,2,0,0,4,2,8,0,3,0,0,0,2,0,0,0,16,0,7,0,3,0,8
"G2000550","1990","KS",,,,,,,,,,,"99","Finney","055",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0003367402","0000006553","Finney County","A","+38046735","-100746062","06",22,7585,161,1313,0,5790,199,3558,0,128,0,45,0,86,0,45,0,41,0,11,0,52,0,20,0,321,0,104,0,207,4,118,0,1439,67,136,0,775,41,438
"G2000570","1990","KS",,,,,,,,,,,"99","Ford","057",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002845278","0000002041","Ford County","A","+37691991","-099883228","06",24,6254,199,1847,0,5026,213,3646,0,105,20,47,0,62,7,39,0,78,0,0,0,22,0,15,0,159,18,21,0,153,17,68,0,962,96,227,0,437,68,392
"G2000590","1990","KS",,,,,,,,,,,"99","Franklin","059",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001486407","0000007240","Franklin County","A","+38567251","-095287808","06",23,5480,353,1673,0,4301,239,3708,0,53,23,41,0,41,0,35,0,34,6,6,0,68,0,34,0,13,0,27,0,20,0,27,0,50,3,30,0,15,0,61
"G2000610","1990","KS",,,,,,,,,,,"99","Geary","061",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0000995269","0000050964","Geary County","A","+38996321","-096749488","06",2907,3737,296,1194,217,3749,369,3211,1353,683,153,421,214,897,304,789,31,45,12,21,5,27,0,11,91,58,16,56,0,313,43,364,218,71,0,10,0,134,48,92
"G2000630","1990","KS",,,,,,,,,,,"99","Gove","063",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002775093","0000000233","Gove County","A","+38921015","-100491052","06",0,852,18,314,0,552,4,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"G2000650","1990","KS",,,,,,,,,,,"99","Graham","065",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002326680","0000000994","Graham County","A","+39348969","-099880425","06",0,892,9,360,0,709,19,642,0,13,0,22,0,12,0,27,0,3,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2000670","1990","KS",,,,,,,,,,,"99","Grant","067",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001489027","0000000474","Grant County","A","+37563003","-101309300","06",0,1768,36,299,0,1250,43,892,0,0,0,0,0,0,0,0,0,8,6,5,0,14,0,31,0,0,0,0,0,0,0,0,0,295,21,16,0,90,66,149
"G2000690","1990","KS",,,,,,,,,,,"99","Gray","069",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002250578","0000001139","Gray County","A","+37744603","-100424208","06",0,1465,10,293,0,926,20,949,0,2,0,0,0,0,0,0,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,69,8,18,0,17,0,47
"G2000710","1990","KS",,,,,,,,,,,"99","Greeley","071",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002015159","0000000000","Greeley County","A","+38472798","-101804358","06",2,480,5,112,0,358,5,260,0,3,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,2,2,0,6,0,15
"G2000730","1990","KS",,,,,,,,,,,"99","Greenwood","073",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002952130","0000033264","Greenwood County","A","+37878126","-096228051","06",0,1808,95,1016,0,1353,50,1795,0,2,0,0,0,0,0,0,0,28,0,0,0,48,0,16,0,0,0,0,0,0,0,0,0,9,0,2,0,2,0,9
"G2000750","1990","KS",,,,,,,,,,,"99","Hamilton","075",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002581025","0000002926","Hamilton County","A","+37993050","-101793222","06",0,615,7,207,0,518,4,418,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,5,0,2,0,3,0,5,0,19,0,3,0,9,4,13
