GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G2500150","2000","US","1","1","Massachusetts","25","Hampshire","015",,,,,"0",,,,,,,,,,,,,"####","99","#","9999","8003","N",,,,,,,,,"1370179607","42491330","Hampshire County","A","+42322256","-072620730","06",,,36742,2149,39206,1713,795,70,828,57,40,12,38,0,1121,91,1449,126,31,0,11,31,495,47,556,63,698,14,816,98
"G2500170","2000","US","1","1","Massachusetts","25","Middlesex","017",,,,,"0",,,,,,,,,,,,,"1122","07","N","####","1123","N",,,,,,,,,"2132746255","62377480","Middlesex County","N","+42459085","-071275566","06",,,354152,11621,324328,10154,11240,907,11370,838,656,37,571,60,25049,982,20487,1193,107,0,125,7,7261,468,6174,460,7886,551,6867,382
"G2500190","2000","US","1","1","Massachusetts","25","Nantucket","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"123826853","662591799","Nantucket County","C","+41276758","-070090890","06",,,2698,47,2251,70,124,121,100,6,0,0,0,0,27,0,14,0,0,0,0,0,92,0,42,0,60,0,43,0
"G2500210","2000","US","1","1","Massachusetts","25","Norfolk","021",,,,,"0",,,,,,,,,,,,,"1122","07","N","####","1123","N",,,,,,,,,"1034915597","114878501","Norfolk County","A","+42199156","-071154440","06",,,157189,5078,145762,4413,4579,295,4992,337,209,0,209,35,9608,325,8975,281,42,6,40,0,957,64,1251,22,1981,78,1744,94
"G2500230","2000","US","1","1","Massachusetts","25","Plymouth","023",,,,,"0",,,,,,,,,,,,,"####","##","#","####","1123","N",,,,,,,,,"1711596642","1120262554","Plymouth County","A","+41978877","-070818958","06",,,112319,4313,102913,3489,3872,486,4383,377,222,35,172,13,995,54,1144,43,12,0,32,0,2682,263,2495,577,2271,255,2409,190
"G2500250","2000","US","1","1","Massachusetts","25","Suffolk","025",,,,,"0",,,,,,,,,,,,,"####","##","#","####","1123","N",,,,,,,,,"151555693","159745094","Suffolk County","C","+42334948","-071073493","06",,,110726,7011,104593,5399,25919,3673,31189,3295,488,45,495,57,10472,806,10079,842,14,31,14,91,11628,1382,10166,1171,7117,568,6891,646
"G2500270","2000","US","1","1","Massachusetts","25","Worcester","027",,,,,"0",,,,,,,,,,,,,"####","##","#","####","1123","N",,,,,,,,,"3918817426","170822271","Worcester County","N","+42329642","-071840209","06",,,177713,7679,158972,6195,4656,323,3984,357,356,40,427,23,4682,252,3695,215,31,0,36,34,3802,543,3610,385,2723,178,2255,100
"G2600010","2000","US","2","3","Michigan","26","Alcona","001",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1746776250","2890690938","Alcona County","A","+44682470","-083557157","06",,,2049,255,1773,165,4,1,0,0,12,0,9,2,0,0,9,0,0,0,0,2,2,0,0,3,22,0,18,3
"G2600030","2000","US","2","3","Michigan","26","Alger","003",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2377170025","10699883373","Alger County","A","+46386089","-086634418","06",,,1864,237,1654,95,0,0,0,0,78,10,83,5,7,0,3,2,0,0,0,0,0,0,2,0,45,2,40,6
"G2600050","2000","US","2","3","Michigan","26","Allegan","005",,,,,"0",,,,,,,,,,,,,"3000","99","N","9999","9999","9",,,,,,,,,"2143123718","2605100219","Allegan County","A","+42592727","-085903867","06",,,26709,1139,22421,845,303,22,297,19,127,12,111,18,111,0,157,0,0,0,0,0,765,76,588,73,245,45,266,25
