GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHY001,DHY002,DHY003,DHY004,DHY005,DHY006,DHY007,DHY008,DHY009,DHY010,DHY011,DHY012,DHY013,DHY014,DHY015,DHY016,DHY017,DHY018,DHY019,DHY020,DHY021,DHY022,DHY023,DHY024,DHY025,DHY026,DHY027,DHY028,DHY029,DHY030,DHY031,DHY032,DHY033,DHY034,DHY035,DHY036,DHY037,DHY038,DHY039,DHY040
"G2801250","1980","A","3","6","Mississippi","28",,"Sharkey","125",,,,,,,,,,,,"01",,,,,"SHARKEY",,,,"1","1",,,,"1",,"1",,,,,,"1","1",,,,,,,,,,0,684,19,307,0,405,7,666,2,633,95,692,0,536,62,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801270","1980","A","3","6","Mississippi","28",,"Simpson","127",,,,,,,,,,,,"06",,,,,"SIMPSON",,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,6,3873,132,1803,0,2623,75,3666,7,1193,143,761,0,1108,95,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801290","1980","A","3","6","Mississippi","28",,"Smith","129",,,,,,,,,,,,"06",,,,,"SMITH",,,,,"1",,,,,,"1","1",,,,,,"1","1","1",,,,,,"1",,6,2695,169,1384,0,1741,71,2768,0,556,43,356,0,436,59,526,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801310","1980","A","3","6","Mississippi","28","0920","Stone","131",,,,,,,,,,,,"07",,,,,"STONE",,,,,,,,,,,,,,,,,,,,"1",,,,,,,,0,1822,129,900,0,919,125,1819,0,313,59,297,0,271,44,405,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,6,14
"G2801330","1980","A","3","6","Mississippi","28",,"Sunflower","133",,,,,,,,,,,,"01",,,,,"SUNFLOWER",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,,"1",,,,0,3238,90,1799,0,2308,75,2758,0,2736,439,3559,0,2330,458,4066,0,0,0,0,0,0,0,0,0,19,0,30,0,29,0,24,0,0,0,0,0,0,0,0
"G2801350","1980","A","3","6","Mississippi","28",,"Tallahatchie","135",,,,,,,,,,,,"01",,,,,"TALLAHATCHIE",,,,"1",,,,,,,,,,,,,"1",,"1",,,"1",,,"1",,,0,1609,63,941,0,1023,105,1845,0,1372,191,1059,0,977,156,2160,0,0,0,0,0,0,0,0,0,15,0,0,0,20,3,3,0,0,0,0,0,0,0,0
"G2801370","1980","A","3","6","Mississippi","28",,"Tate","137",,,,,,,,,,,,"02",,,,,"TATE",,,,"1",,,,,,,,,,,,,,"1","1",,,,"1",,"1",,,12,3078,140,1272,0,1978,169,2643,19,1177,171,963,0,1053,179,1605,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,17,0,0,0,0,0,0,0,0
"G2801390","1980","A","3","6","Mississippi","28",,"Tippah","139",,,,,,,,,,,,"04",,,,,"TIPPAH",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,"1","1",,,,7,3428,257,1860,7,2827,155,3234,1,435,91,380,0,480,61,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801410","1980","A","3","6","Mississippi","28",,"Tishomingo","141",,,,,,,,,,,,"04",,,,,"TISHOMINGO",,,,,"1",,,,,,"1",,"1",,,,,"1",,,,,,"1",,,,0,4120,417,1980,0,3046,190,3678,0,134,21,73,0,141,11,107,0,14,8,15,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801430","1980","A","3","6","Mississippi","28",,"Tunica","143",,,,,,,,,,,,"01",,,,,"TUNICA",,"1",,,"1",,,,"1",,,"1",,,,"1",,,"1",,,,,,,,,0,0,0,0,0,0,0,0,0,889,221,770,0,510,167,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
