GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSQ001,GSQ002,GSQ003,GSQ004,GSQ005,GSQ006,GSQ007,GSQ008,GSQ009,GSQ010,GSQ011,GSQ012,GSQ013,GSQ014,GSQ015,GSQ016,GSQ017,GSQ018,GSQ019,GSQ020,GSQ021,GSQ022,GSQ023,GSQ024,GSQ025,GSQ026,GSQ027,GSQ028,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G4900070","2000","US","4","8","Utah","49","Carbon","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3829188016","15839896","Carbon County","A","+39627056","-110767483","06",,,4746,1967,3880,3490,13,6,0,8,39,19,47,9,42,4,13,27,5,7,1,0,249,115,168,162,165,59,102,91,4357,389,3551,329,6,7,0,0,30,9,47,0,30,12,13,0,5,0,0,1,209,40,144,24,137,28,96,6
"G4900090","2000","US","4","8","Utah","49","Daggett","009",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1808737094","63986618","Daggett County","A","+40946917","-109534250","06",,,225,166,183,129,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,21,0,0,0,5,2,0,216,9,160,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
"G4900110","2000","US","4","8","Utah","49","Davis","011",,,,,"0",,,,,,,,,,,,,"7160","99","N","9999","9999","9",,,,,,,,,"788595522","852681404","Davis County","A","+41004350","-111940753","06",,,61835,13789,48718,28485,920,155,550,205,286,194,304,163,931,361,1002,581,294,31,205,125,1574,411,1034,555,1007,171,808,388,57268,2136,46061,2256,576,137,419,63,242,34,255,44,807,86,940,62,231,34,190,15,1440,78,960,62,942,27,707,76
"G4900130","2000","US","4","8","Utah","49","Duchesne","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"8386517838","46407205","Duchesne County","A","+40248254","-110341804","06",,,3212,1295,2246,2192,0,0,0,0,159,91,128,106,5,0,9,11,7,0,0,0,48,27,25,27,42,15,47,61,3017,195,2054,192,0,0,0,0,130,29,111,17,5,0,6,3,7,0,0,0,38,10,22,3,38,4,40,7
"G4900150","2000","US","4","8","Utah","49","Emery","015",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"11530241878","25099464","Emery County","A","+39159521","-110863388","06",,,2597,1011,1889,1794,0,1,0,0,12,11,10,2,4,2,3,15,4,0,4,0,47,17,19,42,41,22,30,32,2430,167,1769,120,0,0,0,0,10,2,10,0,4,0,3,0,4,0,4,0,45,2,16,3,39,2,28,2
"G4900170","2000","US","4","8","Utah","49","Garfield","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"13401163195","88002922","Garfield County","A","+37797009","-111948258","06",,,1158,495,951,680,4,11,0,0,6,22,11,7,0,0,0,6,0,0,0,0,4,8,5,0,14,10,27,6,1070,88,863,88,4,0,0,0,6,0,10,1,0,0,0,0,0,0,0,0,4,0,5,0,14,0,27,0
"G4900190","2000","US","4","8","Utah","49","Grand","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"9535196504","32415485","Grand County","A","+38823392","-109472540","06",,,2229,787,2024,1135,4,0,0,0,63,46,45,25,1,0,1,2,0,0,0,0,33,11,20,10,21,3,52,20,2039,190,1854,170,4,0,0,0,42,21,41,4,1,0,1,0,0,0,0,0,26,7,20,0,21,0,48,4
"G4900210","2000","US","4","8","Utah","49","Iron","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"8541717322","10012113","Iron County","A","+37784276","-113227675","06",,,8446,2652,6891,4919,23,5,9,0,140,38,138,71,64,60,73,56,32,8,24,25,155,41,107,50,135,32,137,71,7980,439,6567,324,11,12,9,0,123,17,117,21,64,0,57,16,26,6,22,2,149,6,91,16,131,4,137,0
"G4900230","2000","US","4","8","Utah","49","Juab","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"8784559992","37665310","Juab County","A","+39700632","-112347875","06",,,1956,652,1520,1143,0,2,0,0,20,4,11,18,0,0,0,2,0,0,0,0,3,41,5,25,12,14,20,5,1874,82,1482,38,0,0,0,0,14,6,11,0,0,0,0,0,0,0,0,0,3,0,5,0,12,0,20,0
"G4900250","2000","US","4","8","Utah","49","Kane","025",,,,,"0",,,,,,,,,,,,,"2620","99","N","9999","9999","9",,,,,,,,,"10339128016","301638425","Kane County","A","+37277065","-112361851","06",,,1479,672,1259,977,4,0,0,6,8,9,10,18,0,7,0,0,0,0,0,0,0,2,0,15,39,6,17,13,1424,55,1170,89,4,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,11,6
